golden_contact_id,surviving_contact_id,source_contact_ids,full_name,email,phone,job_title,record_quality_score,quality_grade,survivorship_reason,records_merged_count
GOLD_CON_000018,CON000018,"CON000018,CON000147,CON000148,CON000151,CON000168,CON000169,CON000181,CON000195,CON000200,CON001412,CON001413,CON001419,CON001423,CON001428,CON001430,CON001434,CON001457,CON001458,CON001475,CON001476,CON001484,CON001494,CON001504,CON001511,CON001513,CON001515,CON001528,CON001531,CON001535,CON001555,CON001570,CON001581,CON001596,CON001600,CON001604,CON001607,CON001612,CON001633,CON001636,CON001643,CON001645,CON001662,CON001669,CON001676,CON001681,CON001685,CON001711,CON001714,CON001730,CON001744,CON001748,CON001766,CON001789,CON001806,CON001809,CON001813,CON001816,CON001819,CON001823,CON001835,CON001863,CON001874,CON001881,CON001889,CON001890,CON001912,CON001916,CON001922,CON001927,CON001941,CON001963,CON001969,CON001973,CON014005,CON014019,CON014046,CON014064,CON014065,CON014067,CON014071,CON014072,CON014078,CON014093,CON014101,CON014102,CON014113,CON014119,CON014152,CON014164,CON014188,CON014193,CON014205,CON014207,CON014215,CON014222,CON014223,CON014229,CON014230,CON014239,CON014243,CON014254,CON014265,CON014273,CON014280,CON014330,CON014333,CON014336,CON014338,CON014347,CON014352,CON014355,CON014360,CON014365,CON014369,CON014371,CON014378,CON014379,CON014385,CON014396,CON014401,CON014416,CON014418,CON014448,CON014450,CON014453,CON014460,CON014472,CON014480,CON014492,CON014494,CON014496,CON014500,CON014508,CON014510,CON014511,CON014515,CON014525,CON014530,CON014536,CON014546,CON014547,CON014574,CON014583,CON014586,CON014588,CON014605,CON014609,CON014614,CON014616,CON014620,CON014635,CON014640,CON014650,CON014661,CON014662,CON014673,CON014677,CON014686,CON014703,CON014713,CON014718,CON014727,CON014734,CON014738,CON014741,CON014751,CON014757,CON014760,CON014761,CON014772,CON014779,CON014792,CON014799,CON014804,CON014812,CON014815,CON014820,CON014827,CON014863,CON014865,CON014875,CON014884,CON014888,CON014910,CON014920,CON014930,CON014931,CON014935,CON014939,CON014945,CON014963,CON014979,CON014983,CON014986,CON015003,CON015005,CON015006,CON015045,CON015050,CON015051,CON015061,CON015066,CON015077,CON015080,CON015101,CON015106,CON015110,CON015143,CON015144,CON015165,CON015169,CON015171,CON015181,CON015187,CON015192,CON015221,CON015231,CON015237,CON015239,CON015250,CON015251,CON015253,CON015257,CON015260,CON015261,CON015265,CON015279,CON015286,CON015309,CON015312,CON015320,CON015323,CON015334,CON015356,CON015357,CON015388,CON015397,CON015400,CON015416,CON015420,CON015422,CON015430,CON015438,CON015444,CON015449,CON015457,CON015462,CON015466,CON015468,CON015478,CON015483,CON015485,CON015492,CON015506,CON015507,CON015539,CON015540,CON015545,CON015547,CON015549,CON015551,CON015556,CON015560,CON015580,CON015583,CON015594,CON015602,CON015616,CON015617,CON015644,CON015649,CON015653,CON015655,CON015658,CON015667,CON015672,CON015695,CON015726,CON015738,CON015742,CON015756,CON015764,CON015766,CON015777,CON015779,CON015784,CON015790,CON015794,CON015795,CON015798,CON015799,CON015802,CON015810,CON015812,CON015819,CON015821,CON015833,CON015835,CON015842,CON015844,CON015876,CON015880,CON015885,CON015904,CON015908,CON015911,CON015924,CON015927,CON015934,CON015940,CON015941,CON015943,CON015949,CON015950,CON015953,CON015958,CON015962,CON015963,CON015972,CON015974,CON015979,CON015984,CON016000,CON016004,CON016028,CON016041,CON016043,CON016063,CON016070,CON016071,CON016079,CON016089,CON016095,CON016168,CON016172,CON016177,CON016183,CON016198,CON016208,CON016211,CON016228,CON016243,CON016260,CON016272,CON016277,CON016278,CON016287,CON016298,CON016303,CON016304,CON016307,CON016309,CON016326,CON016328,CON016329,CON016362,CON016366,CON016367,CON016398,CON016401,CON016402,CON016404,CON016409,CON016412,CON016422,CON016426,CON016428,CON016433,CON016448,CON016452,CON016455,CON016464,CON016465,CON016471,CON016477,CON016489,CON016511,CON016542,CON016544,CON016572,CON016580,CON016582,CON016596,CON016604,CON016619,CON016623,CON016639,CON016652,CON016660,CON016675,CON016688,CON016704,CON016718,CON016746,CON016757,CON016779,CON016783,CON016788,CON016791,CON016797,CON016798,CON016799,CON016800,CON016804,CON016805,CON016812,CON016816,CON016818,CON016829,CON016848,CON016857,CON016866,CON016877,CON016878,CON016883,CON016900,CON016901,CON016923,CON016945,CON016947,CON016984,CON016988,CON016993,CON017009,CON017040,CON017046,CON017067,CON017069,CON017081,CON017094,CON017095,CON017099,CON017113,CON017115,CON017121,CON017123,CON017124,CON017168,CON017171,CON017178,CON017179,CON017184,CON017186,CON017191,CON017194,CON017197,CON017211,CON017216,CON017219,CON017220,CON017226,CON017228,CON017230,CON017239,CON017241,CON017245,CON017255,CON017260,CON017282,CON017285,CON017289,CON017292,CON017301,CON017326,CON017350,CON017356,CON017389,CON017391,CON017395,CON017402,CON017403,CON017419,CON017423,CON017437,CON017440,CON017453,CON017455,CON017464,CON017465,CON017476,CON017478,CON017490,CON017492,CON017493,CON017496,CON017506,CON017519,CON017539,CON017540,CON017547,CON017549,CON017553,CON017560,CON017563,CON017580,CON017581,CON017596,CON017599,CON017602,CON017604,CON017605,CON017611,CON017615,CON017618,CON017647,CON017653,CON017660,CON017662,CON017677,CON017684,CON017688,CON017689,CON017711,CON017712,CON017714,CON017717,CON017740,CON017743,CON017760,CON017790,CON017791,CON017800,CON017802,CON017809,CON017811,CON017813,CON017822,CON017838,CON017841,CON017844,CON017870,CON017878,CON017892,CON017894,CON017896,CON017907,CON017918,CON017919,CON017924,CON017941,CON017946,CON017948,CON017954,CON017958,CON017960,CON017976,CON017978,CON017979,CON017985,CON017990,CON017993,CON017995,CON017998,CON018002,CON018003,CON018007,CON018009,CON018022,CON018026,CON018028,CON018037,CON018047,CON018067,CON018082,CON018114,CON018121,CON018145,CON018159,CON018162,CON018177,CON018178,CON018183,CON018184,CON018186,CON018198,CON018216,CON018217,CON018227,CON018232,CON018243,CON018247,CON018248,CON018265,CON018277,CON018293,CON018299,CON018305,CON018321,CON018329,CON018332,CON018342,CON018346,CON018354,CON018357,CON018359,CON018364,CON018380,CON018394,CON018398,CON018405,CON018416,CON018427,CON018466,CON018468,CON018479,CON018484,CON018492,CON018493,CON018495,CON018506,CON018511,CON018513,CON018519,CON018548,CON018569,CON018571,CON018583,CON018585,CON018608,CON018609,CON018616,CON018621,CON018630,CON018639,CON018649,CON018663,CON018666,CON018675,CON018683,CON018689,CON018695,CON018702,CON018716,CON018725,CON018736,CON018747,CON018761,CON018785,CON018786,CON018797,CON018805,CON018814,CON018818,CON018819,CON018825,CON018839,CON018862,CON018865,CON018870,CON018873,CON018900,CON018907,CON018910,CON018917,CON018924,CON018928,CON018933,CON018949,CON018964,CON018968,CON018973,CON019000,CON019013,CON019016,CON019023,CON019041,CON019043,CON019052,CON019053,CON019056,CON019068,CON019070,CON019074,CON019085,CON019092,CON019096,CON019103,CON019123,CON019138,CON019144,CON019149,CON019155,CON019156,CON019164,CON019185,CON019187,CON019190,CON019193,CON019215,CON019228,CON019242,CON019264,CON019267,CON019303,CON019324,CON019328,CON019330,CON019341,CON019347,CON019350,CON019359,CON019360,CON019374,CON019403,CON019407,CON019408,CON019424,CON019428,CON019430,CON019432,CON019433,CON019434,CON019449,CON019450,CON019452,CON019470,CON019472,CON019474,CON019475,CON019476,CON019485,CON019488,CON019495,CON019503,CON019506,CON019515,CON019527,CON019530,CON019557,CON019570,CON019581,CON019588,CON019635,CON019637,CON019663,CON019675,CON019691,CON019701,CON019705,CON019708,CON019715,CON019735,CON019743,CON019752,CON019758,CON019763,CON019783,CON019784,CON019789,CON019795,CON019809,CON019814,CON019824,CON019832,CON019840,CON019843,CON019846,CON019853,CON019854,CON019858,CON019873,CON019887,CON019893,CON019904,CON019907,CON019911,CON019914,CON019919,CON019947,CON019986,CON019988",First17 Last17,user17@example.com,,Director,100.0,A,Highest record_quality_score,771
GOLD_CON_000019,CON000019,CON000019,First18 Last18,user18@example.com,,Manager,100.0,A,Highest record_quality_score,1
GOLD_CON_000020,CON000020,CON000020,First19 Last19,user19@example.com,,Analyst,100.0,A,Highest record_quality_score,1
GOLD_CON_000021,CON000021,CON000021,First20 Last20,user20@example.com,,Analyst,80.0,B,Highest record_quality_score,1
GOLD_CON_000022,CON000022,CON000022,First21 Last21,user21@example.com,,VP,80.0,B,Highest record_quality_score,1
GOLD_CON_000023,CON000023,CON000023,First22 Last22,user22@example.com,,Manager,100.0,A,Highest record_quality_score,1
GOLD_CON_000024,CON000024,CON000024,First23 Last23,user23@example.com,,Analyst,80.0,B,Highest record_quality_score,1
GOLD_CON_000025,CON000025,CON000025,First24 Last24,user24@example.com,,Analyst,80.0,B,Highest record_quality_score,1
GOLD_CON_000026,CON000026,CON000026,First25 Last25,user25@example.com,,Director,100.0,A,Highest record_quality_score,1
GOLD_CON_000027,CON000027,CON000027,First26 Last26,user26@example.com,,VP,80.0,B,Highest record_quality_score,1
GOLD_CON_000028,CON000028,CON000028,First27 Last27,user27@example.com,,Analyst,100.0,A,Highest record_quality_score,1
GOLD_CON_000029,CON000029,CON000029,First28 Last28,user28@example.com,,Director,80.0,B,Highest record_quality_score,1
